parameter,value,std_err,tstat,pvalue
Const,0.03871554008077189,0.00875259752070844,4.423320047468403,9.719559263527246e-06
spy_ret[1],-0.13882121552032547,0.012587443176331833,-11.028547543424146,2.7832364196519475e-28
hy_ig_spread_chg,-5.6965268336550405,0.2103073784819717,-27.08667130356231,1.4135825936081671e-161
omega,0.013085056823588619,0.0023480099870736115,5.572828435835096,2.5063637007550017e-08
alpha[1],0.012091153203308036,0.008409648924938059,1.4377714588599302,0.1504989099993704
gamma[1],0.1496358249215853,0.018357815425366717,8.151069256030292,3.6072045251942263e-16
beta[1],0.8981429621061812,0.0106604592942607,84.24993120040492,0.0
