,rf_prob
2011-01-03,0.7761094271756908
2011-01-04,0.7576158130571932
2011-01-05,0.6840369093587664
2011-01-06,0.7086050205771102
2011-01-07,0.7709106459804373
2011-01-10,0.8060690073809493
2011-01-11,0.7734022614761917
2011-01-12,0.7463705338373846
2011-01-13,0.7233468444128565
2011-01-14,0.7459260922642315
2011-01-17,0.7617682041955491
2011-01-18,0.7593118376442278
2011-01-19,0.7676666503571917
2011-01-20,0.7391747988005087
2011-01-21,0.7356847238339891
2011-01-24,0.7435461663060938
2011-01-25,0.7649834232126387
2011-01-26,0.7258236040142275
2011-01-27,0.7046715498901506
2011-01-28,0.7509019585547999
2011-01-31,0.8153829935108725
2011-02-01,0.7465562846966246
2011-02-02,0.7261077857462135
2011-02-03,0.684652116613738
2011-02-04,0.6915609133061357
2011-02-07,0.6837325362809383
2011-02-08,0.6435191086909029
2011-02-09,0.6804634577054719
2011-02-10,0.6658094760218047
2011-02-11,0.6884365582965778
2011-02-14,0.6884365582965778
2011-02-15,0.6870565077915274
2011-02-16,0.6905121414649031
2011-02-17,0.6870565077915274
2011-02-18,0.6823159063592849
2011-02-21,0.6903406958257154
2011-02-22,0.7541671129923168
2011-02-23,0.7517925333086213
2011-02-24,0.8064581470871178
2011-02-25,0.7945945600045293
2011-02-28,0.8091867927345995
2011-03-01,0.7926035544549144
2011-03-02,0.8027458582893503
2011-03-03,0.7674473906700808
2011-03-04,0.8181696037685433
2011-03-07,0.8246823456929677
2011-03-08,0.8057724221259603
2011-03-09,0.822288222276691
2011-03-10,0.8105192045307351
2011-03-11,0.7388972942664225
2011-03-14,0.7365277191666721
2011-03-15,0.6866339918721793
2011-03-16,0.6822724033408177
2011-03-17,0.692694654730526
2011-03-18,0.7087682218344032
2011-03-21,0.749004479357741
2011-03-22,0.7408190440223562
2011-03-23,0.8273942525946412
2011-03-24,0.8244685062462418
2011-03-25,0.829014200710041
2011-03-28,0.828265046817799
2011-03-29,0.835294046176327
2011-03-30,0.8283367582417229
2011-03-31,0.8188774814887521
2011-04-01,0.8290511501080698
2011-04-04,0.8547580342971861
2011-04-05,0.852414543016957
2011-04-06,0.841116835348512
2011-04-07,0.8376979411943825
2011-04-08,0.8219637637042695
2011-04-11,0.8225875818363683
2011-04-12,0.8415065203034299
2011-04-13,0.8418049233856014
2011-04-14,0.8304565015282988
2011-04-15,0.8509932489070708
2011-04-18,0.8524795671130417
2011-04-19,0.8572652126264617
2011-04-20,0.8605256239244499
2011-04-21,0.8677662259709359
2011-04-22,0.8769849315987499
2011-04-25,0.8566641822621787
2011-04-26,0.8639893742157123
2011-04-27,0.8644688718968405
2011-04-28,0.8851609044286467
2011-04-29,0.8758700574716629
2011-05-02,0.8530466286538448
2011-05-03,0.8154766805973199
2011-05-04,0.7885508720194707
2011-05-05,0.7624932685777462
2011-05-06,0.7416847489271835
2011-05-09,0.7493573342350451
2011-05-10,0.7646002785410628
2011-05-11,0.7844961695874312
2011-05-12,0.783030645201968
2011-05-13,0.7681706882461522
2011-05-16,0.7619881813729821
2011-05-17,0.7608879118307971
2011-05-18,0.766863742959718
2011-05-19,0.7604048745864703
2011-05-20,0.7869812572961785
2011-05-23,0.7588840180102657
2011-05-24,0.7806526410376803
2011-05-25,0.7712644771749005
2011-05-26,0.7361655816872414
2011-05-27,0.7382418325449187
2011-05-30,0.725136506668514
2011-05-31,0.6005565770251046
2011-06-01,0.6323375496494393
2011-06-02,0.6509129413078907
2011-06-03,0.5449200666617431
2011-06-06,0.5488076406378426
2011-06-07,0.6231414814324472
2011-06-08,0.5341532495999263
2011-06-09,0.6053028515838919
2011-06-10,0.5978183045470422
2011-06-13,0.6008241684693517
2011-06-14,0.6051835749838833
2011-06-15,0.5366373811778478
2011-06-16,0.4911967185219512
2011-06-17,0.46638663437810984
2011-06-20,0.46147205146732645
2011-06-21,0.4684286804714853
2011-06-22,0.4911063707301556
2011-06-23,0.4437382197958955
2011-06-24,0.4714330597892027
2011-06-27,0.4704188508798324
2011-06-28,0.4911145788092104
2011-06-29,0.5296828822630731
2011-06-30,0.6024006905902456
2011-07-01,0.5911691943981239
2011-07-04,0.5990291451619192
2011-07-05,0.6096417976059091
2011-07-06,0.6145128731118767
2011-07-07,0.5593687480062246
2011-07-08,0.6083791431598363
2011-07-11,0.615755646722777
2011-07-12,0.6216889820940064
2011-07-13,0.6124318732472036
2011-07-14,0.6208783161115772
2011-07-15,0.6003529267785117
2011-07-18,0.606606270861296
2011-07-19,0.6040517474214855
2011-07-20,0.589757691644543
2011-07-21,0.567181334188857
2011-07-22,0.536568225056235
2011-07-25,0.5147728335273282
2011-07-26,0.5469271645104575
2011-07-27,0.5611487417176706
2011-07-28,0.6002306680980469
2011-07-29,0.6451419724704707
2011-08-01,0.6131080509539172
2011-08-02,0.5496980043856212
2011-08-03,0.5258228585111678
2011-08-04,0.5696001831844859
2011-08-05,0.5417196066753225
2011-08-08,0.6387192908691053
2011-08-09,0.6408132965213951
2011-08-10,0.6236521115970595
2011-08-11,0.6312705855740376
2011-08-12,0.6627086017315872
2011-08-15,0.6818798333966241
2011-08-16,0.6707369433797163
2011-08-17,0.6699025081539344
2011-08-18,0.6338738461774969
2011-08-19,0.6376677158791542
2011-08-22,0.6462606435488815
2011-08-23,0.6627745014150953
2011-08-24,0.6774208851680416
2011-08-25,0.6767485095338209
2011-08-26,0.6657019905925846
2011-08-29,0.6721342655992482
2011-08-30,0.6622196093181308
2011-08-31,0.6310592944642276
2011-09-01,0.6209109616278129
2011-09-02,0.620797588942654
