parameter,value
p[0->0],0.9870994371138625
p[1->0],0.030927000363806606
const[0],0.00031873579667123853
const[1],-0.00012986121658486316
x1[0],0.00031873579667120037
x1[1],-0.00012986121658497296
x2[0],-0.05511602155851725
x2[1],-0.06204301438770183
sigma2[0],3.806576176463636e-05
sigma2[1],0.0003020953352268768
