quantile,variable,coef,se,t_stat,p_value,ci_lower,ci_upper
0.05,Intercept,-0.07294513576760635,0.0014450211709326176,-50.48032321943596,0.0,-0.07577784779290136,-0.07011242374231133
0.05,hy_ig_zscore_252d,-0.014359797928527106,0.0009576831804364911,-14.994309414499922,5.348048060881914e-50,-0.01623716880461909,-0.012482427052435123
0.1,Intercept,-0.050172413987817834,0.0010977585440543175,-45.70441674953184,0.0,-0.05232437818818042,-0.04802044978745525
0.1,hy_ig_zscore_252d,-0.00988895991108738,0.0007431038060414566,-13.30764266134803,6.850002859248658e-40,-0.011345685341661913,-0.008432234480512847
0.25,Intercept,-0.015750187490388742,0.0008402168561856284,-18.745383854699845,2.0372365867501542e-76,-0.017397286121363466,-0.014103088859414017
0.25,hy_ig_zscore_252d,-0.005318464001677126,0.0005768493956306818,-9.219848442178456,3.934156145531396e-20,-0.006449276651800849,-0.004187651351553402
0.5,Intercept,0.014802271772290564,0.0005078039710143809,29.149578611450767,9.133142827642802e-176,0.013806810637104138,0.01579773290747699
0.5,hy_ig_zscore_252d,0.0008940143067435297,0.0003450557901854731,2.5909268361008593,0.009592972053394573,0.00021759260032297727,0.0015704360131640822
0.75,Intercept,0.037667543764365236,0.00044526737304757173,84.59533764298712,0.0,0.036794674724467825,0.038540412804262646
0.75,hy_ig_zscore_252d,0.006130066718565158,0.0003153739348625677,19.437455163301596,7.213118518154904e-82,0.005511831113634036,0.0067483023234962795
0.9,Intercept,0.05528336105332344,0.000608180942396225,90.89952874140994,0.0,0.054091128369307365,0.05647559373733951
0.9,hy_ig_zscore_252d,0.009590017226754951,0.0004642079179802155,20.658883347964945,6.500513600006212e-92,0.008680018551336901,0.010500015902173001
