signal_id,signal_col,lead_time,threshold_method,strategy_id,strategy_name,is_sharpe,is_ann_return,oos_sharpe,oos_sortino,oos_calmar,oos_max_dd,oos_ann_return,oos_ann_vol,oos_win_rate,n_trades,annual_turnover,valid
S1,hy_ig_spread,0,T1_75,P1,Long/Cash,0.4310501059148707,0.05225037871455197,0.5940437975687151,0.6721139077292606,0.2809760201888268,-0.37206440167467664,0.1045411748364877,0.17598226808250628,0.5205938697318008,8,0.9655172413793103,False
S1,hy_ig_spread,0,T1_75,P2,Signal-Strength,0.7143364941646354,0.06603384117063235,0.7370219976411905,0.8950386256644137,0.3635807431899714,-0.22288001461218776,0.08103488135489091,0.10994906748270719,0.5272988505747126,1898,229.06896551724137,False
S1,hy_ig_spread,0,T1_75,P3,Long/Short,0.18791419334256665,0.03574286943183243,0.32218545029780277,0.353809199258978,0.10739604583603266,-0.573334091630112,0.06157381438406765,0.19111295785440863,0.5292145593869731,8,0.9655172413793103,False
S1,hy_ig_spread,0,T1_85,P1,Long/Cash,0.4674251160124594,0.0659139920095941,0.6741473609267993,0.7865209499982752,0.35945454271873983,-0.3472334051616459,0.12481462486905034,0.18514442405805553,0.532088122605364,6,0.7241379310344827,False
S1,hy_ig_spread,0,T1_85,P2,Signal-Strength,0.7143364941646354,0.06603384117063235,0.7370219976411905,0.8950386256644137,0.3635807431899714,-0.22288001461218776,0.08103488135489091,0.10994906748270719,0.5272988505747126,1898,229.06896551724137,False
S1,hy_ig_spread,0,T1_85,P3,Long/Short,0.331633197685651,0.06307009602191666,0.5345402746295675,0.6032141431944086,0.22209186628873848,-0.4598129420751826,0.1021207144491929,0.19104400415845524,0.5325670498084292,6,0.7241379310344827,False
S1,hy_ig_spread,0,T1_95,P1,Long/Cash,0.38594626743395316,0.06171204014837584,0.7725943548357259,0.9238074194313154,0.4374869004927011,-0.3371724619017907,0.14750853528890776,0.19092624009694192,0.5340038314176245,0,0.0,False
S1,hy_ig_spread,0,T1_95,P2,Signal-Strength,0.7143364941646354,0.06603384117063235,0.7370219976411905,0.8950386256644137,0.3635807431899714,-0.22288001461218776,0.08103488135489091,0.10994906748270719,0.5272988505747126,1898,229.06896551724137,False
S1,hy_ig_spread,0,T1_95,P3,Long/Short,0.2874284509640771,0.05466619229948016,0.7725943548357259,0.9238074194313154,0.4374869004927011,-0.3371724619017907,0.14750853528890776,0.19092624009694192,0.5340038314176245,0,0.0,False
S1,hy_ig_spread,0,T2_75,P1,Long/Cash,0.5530867721047216,0.06832410846620132,0.5803333097494272,0.6120634118880527,0.2671379819347579,-0.262752825434376,0.07019125953419493,0.12094990646754654,0.38553639846743293,78,9.413793103448276,True
S1,hy_ig_spread,0,T2_75,P2,Signal-Strength,0.7143364941646354,0.06603384117063235,0.7370219976411905,0.8950386256644137,0.3635807431899714,-0.22288001461218776,0.08103488135489091,0.10994906748270719,0.5272988505747126,1898,229.06896551724137,False
S1,hy_ig_spread,0,T2_75,P3,Long/Short,0.3569911602561143,0.06789032893513111,-0.0372793558159473,-0.04618847821737171,-0.01290411613331612,-0.5522281531642309,-0.007126016220517918,0.1911518067989137,0.5004789272030651,78,9.413793103448276,False
S1,hy_ig_spread,0,T2_85,P1,Long/Cash,0.4336491596474176,0.05707499409499008,0.6291197478706437,0.7183866743494884,0.29015666618119645,-0.29484915549309426,0.08555244798421743,0.13598754175780264,0.44875478927203066,64,7.724137931034482,True
S1,hy_ig_spread,0,T2_85,P2,Signal-Strength,0.7143364941646354,0.06603384117063235,0.7370219976411905,0.8950386256644137,0.3635807431899714,-0.22288001461218776,0.08103488135489091,0.10994906748270719,0.5272988505747126,1898,229.06896551724137,False
S1,hy_ig_spread,0,T2_85,P3,Long/Short,0.23865420868919454,0.045392100192708666,0.12344643647656592,0.148851131368167,0.04903891544954467,-0.48117623449085023,0.023596360679527084,0.19114655192178373,0.5114942528735632,64,7.724137931034482,True
S1,hy_ig_spread,0,T2_95,P1,Long/Cash,0.44117847052251524,0.06780695799192256,0.70883752858019,0.8428479083168551,0.3722111994981652,-0.28926814090109776,0.10766884170140187,0.15189495104338485,0.49952107279693486,36,4.344827586206896,True
S1,hy_ig_spread,0,T2_95,P2,Signal-Strength,0.7143364941646354,0.06603384117063235,0.7370219976411905,0.8950386256644137,0.3635807431899714,-0.22288001461218776,0.08103488135489091,0.10994906748270719,0.5272988505747126,1898,229.06896551724137,False
S1,hy_ig_spread,0,T2_95,P3,Long/Short,0.35154975461432725,0.06685602798657359,0.35493214660881295,0.41301078100054045,0.203622799571755,-0.333111754953519,0.06782914811389597,0.1911045498751444,0.5229885057471264,36,4.344827586206896,True
S1,hy_ig_spread,0,T3_1.5,P1,Long/Cash,0.4805428883079578,0.07123161020793815,0.9605076747920037,1.150941260301839,0.48558633228312476,-0.2711312186946787,0.13165761405340282,0.13707086107553804,0.47988505747126436,40,4.827586206896552,True
S1,hy_ig_spread,0,T3_1.5,P2,Signal-Strength,0.7143364941646354,0.06603384117063235,0.7370219976411905,0.8950386256644137,0.3635807431899714,-0.22288001461218776,0.08103488135489091,0.10994906748270719,0.5272988505747126,1898,229.06896551724137,False
S1,hy_ig_spread,0,T3_1.5,P3,Long/Short,0.38758600015656464,0.07370533241860477,0.6062764639075693,0.7297425769817133,0.3687239740581608,-0.31407421530890495,0.11580669281789789,0.19101301091502268,0.5277777777777778,40,4.827586206896552,True
