,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
hy_oas,6783.0,5.362709715465133,2.60942098595773,2.41,3.63,4.58,6.4,21.82,2.451348831005616,8.694578779179611
ig_oas,6783.0,1.5378976853899453,0.8385674353938313,0.74,1.01,1.35,1.71,6.56,3.2934173579473036,13.734842430052854
bb_hy_oas,6783.0,3.568820580863924,1.7871037397315537,1.56,2.4,3.08,4.2,14.68,2.5403436180756027,9.434938334696028
ccc_hy_oas,6783.0,11.179790653103348,5.217527320976693,4.14,7.925,9.49,12.4,44.29,1.9357136859575113,4.721186149584805
dgs10,6783.0,3.3220212295444487,1.2942399094540673,0.52,2.24,3.43,4.3,6.79,0.04838888277404758,-0.7324892360522042
dtb3,6783.0,1.8897537962553443,1.931890521293482,-0.05,0.11,1.21,3.66,6.24,0.6940464438946176,-0.9770773130894628
dgs2,6783.0,2.2601842842400117,1.76503400568753,0.09,0.65,1.81,3.85,6.93,0.5460459487093763,-0.8605905573112427
nfci,6779.0,-0.3510577046762059,0.521493334515303,-0.81674,-0.604075,-0.49683,-0.30183000000000004,3.0583,3.743378435982769,16.920543250799593
fed_funds_rate,6783.0,2.0089149343948103,2.032767005996026,0.04,0.14,1.27,3.98,7.03,0.7171262176644748,-0.9327658308671705
bbb_oas,6783.0,1.981701312103789,1.0195527672979816,0.93,1.32,1.76,2.27,8.04,3.0812453923497563,12.565019637881889
fsi,6779.0,0.024599055907951,1.100436487558678,-1.134,-0.6134999999999999,-0.2448,0.31435,9.6426,3.8426499898162003,21.724924934336304
initial_claims,6783.0,370233.672416335,346160.41018955933,189000.0,244000.0,321000.0,394000.0,6137000.0,10.735516188152044,146.54457620684911
sofr,2022.0,2.5979475766567757,1.989031847525728,0.01,0.1,2.37,4.4,5.4,0.013268483986447905,-1.5053340654114644
spy,6783.0,196.60392563999991,153.1419777564344,49.94460678100586,84.66403198242188,116.103759765625,260.75779724121094,690.3800048828125,1.3343657614111029,0.8468785239618248
vix,6783.0,19.809385228821366,8.336435667868438,9.140000343322754,13.970000267028809,17.770000457763672,23.209999084472656,82.69000244140625,2.218196385872636,8.200428867795686
vix3m,5078.0,21.216451364316637,7.654808607957846,11.029999732971191,15.829999923706055,19.489999771118164,24.389999389648438,72.9800033569336,1.9921673347270608,5.984821815780553
kbe,5252.0,31.331524902686578,11.785828415444643,6.51147985458374,22.397873401641846,32.455665588378906,38.936859130859375,62.58000183105469,0.3236146768798597,-0.565999907905252
iwm,6679.0,99.47429140379087,60.64125942925252,23.9385929107666,49.07417106628418,77.6323471069336,142.93624114990234,256.9383544921875,0.7009880548271646,-0.7498530999813693
move_index,6037.0,87.09728836203641,30.748050434291233,36.619998931884766,63.5,80.5999984741211,105.7300033569336,264.6000061035156,1.1707136990778015,2.0999710024410834
gold,6611.0,1249.2371194262744,729.3069990037063,255.10000610351562,647.2000122070312,1247.4000244140625,1678.0999755859375,4529.10009765625,1.0630986919209515,2.1908987490989116
copper,6611.0,2.8389593836778304,1.1739895391172193,0.6039999723434448,2.125749945640564,3.0420000553131104,3.677999973297119,5.795000076293945,-0.35139050282503537,-0.6864777046910691
dxy,6783.0,92.86664604356854,11.283411976902293,71.33000183105469,82.68000030517578,93.3499984741211,100.31999969482422,120.9000015258789,0.2560919816879156,-0.7012180840875613
hyg,4886.0,52.310102561532204,13.72074989201527,22.205814361572266,41.12334060668945,52.08176803588867,63.177205085754395,80.31301879882812,-0.11761496440690737,-0.8516742838874158
hy_ig_spread,6783.0,3.8248120300751887,1.8525809479167827,1.4700000000000002,2.55,3.2199999999999998,4.575,15.31,2.057794241832604,5.969822901137124
hy_ig_zscore_252d,6584.0,-0.19041222776853842,1.4571990403565394,-3.5580042218590133,-1.3107237896854207,-0.46879264391884645,0.6746302500210233,7.283702628297177,0.9088619474977903,0.8266237700646144
hy_ig_zscore_504d,6384.0,-0.13581347547717765,1.3797537779641007,-2.5055100986301433,-1.1312200529139333,-0.552851741821506,0.7163163888521985,7.38428834875813,1.08280274223509,1.2211625601586005
hy_ig_pctrank_504d,6384.0,0.41703324709615686,0.35074657453722125,0.001984126984126984,0.07837301587301587,0.3273809523809524,0.7678571428571429,1.0,0.354562263928191,-1.3943821313628115
hy_ig_pctrank_1260d,5784.0,0.36846774842038194,0.3217038804939792,0.0007936507936507937,0.07380952380952381,0.2904761904761905,0.647718253968254,1.0,0.5218881319651354,-1.1187079404054088
hy_ig_roc_21d,6762.0,0.5726202699756754,13.19645753398192,-29.629629629629626,-7.398533657218365,-1.4934805438611254,5.948303979125885,162.83524904214553,2.8285214223123214,19.48812690866811
hy_ig_roc_63d,6720.0,1.8605336013123723,25.22585706491429,-43.86792452830189,-13.182467795824577,-3.655355249204667,8.517125064867647,189.32806324110663,2.78153692143198,11.794262146791572
hy_ig_roc_126d,6657.0,3.664401762524093,36.42237435890115,-53.69039843239713,-18.721461187214615,-4.868913857677903,14.126394052044589,268.0288461538462,2.2799345399984374,8.3494603885851
hy_ig_mom_21d,6762.0,-0.004692398698609875,0.5822570584259712,-4.0600000000000005,-0.2400000000000002,-0.04999999999999982,0.18999999999999995,5.0900000000000025,1.7816788669060413,16.614204669516216
hy_ig_mom_63d,6720.0,-0.014956845238095245,1.0744250384236738,-5.580000000000002,-0.46999999999999975,-0.10999999999999988,0.2699999999999996,9.95,2.6479527131867338,20.7276305346967
hy_ig_mom_252d,6531.0,-0.09497932935231965,2.043429213683156,-10.01,-0.9299999999999997,-0.21999999999999975,0.7599999999999998,11.700000000000001,0.31826786456665146,5.613405852634415
hy_ig_acceleration,6741.0,-0.028881199106587083,18.423760345296053,-182.80609452319507,-9.61917638442904,0.3314514660353707,9.96372193352293,161.67245834447112,-0.365752648762678,10.70298724863455
ccc_bb_spread,6783.0,7.610970072239423,3.8784778633197563,2.37,5.02,6.490000000000001,8.34,29.7,1.6478641554613773,2.5747418832350597
hy_ig_realized_vol_21d,6768.0,0.07322686903659273,0.0458451361954547,0.020563490531938112,0.044454363972398006,0.060770840458699,0.08621678090984178,0.371868512348371,2.592211854362861,9.428992386492691
vix_term_structure,5078.0,1.622020486303557,2.1027585491298937,-23.829998016357422,0.9625005722045898,1.9200000762939453,2.7274999618530273,6.660001754760742,-3.7650390769656896,27.192676205011043
yield_spread_10y3m,6783.0,1.432267433289105,1.2926539790204656,-1.7299999999999995,0.3599999999999999,1.54,2.4699999999999998,3.8699999999999997,-0.19463673190935676,-0.8167989543675134
yield_spread_10y2y,6783.0,1.0618369453044376,0.97122913789016,-1.0800000000000005,0.21999999999999986,1.05,1.8800000000000001,2.91,0.024436080303415608,-1.1229208189967406
bank_smallcap_ratio,5252.0,0.30045942503307294,0.11482855235720298,0.17876935157768845,0.24337515966999548,0.25633224400212684,0.29154186011765676,0.6668995703025877,1.8692040064965594,2.248449016689332
nfci_momentum_13w,6714.0,-0.0033153172475424474,0.29074781527856025,-1.3100900000000002,-0.08671999999999996,-0.012220000000000009,0.06533999999999995,2.3009,2.163883714169356,20.912601503786675
bbb_ig_spread,6783.0,0.4438036267138434,0.22377339114713454,-0.3000000000000007,0.30000000000000004,0.39,0.52,1.7999999999999998,2.1375147003148918,6.620133217297371
spy_fwd_1d,6782.0,0.0003690601100616665,0.011994358464883646,-0.10942369325105128,-0.004251021915490788,0.0004338977762305962,0.005787394616392716,0.1451980726300286,0.04568729469258823,12.608618777478819
spy_fwd_5d,6778.0,0.0018067512227182188,0.02431406573388034,-0.19793365737492474,-0.009565323330139847,0.0034916419387599484,0.014566404152387802,0.17919093304966682,-0.5734777558201943,6.553639237532328
spy_fwd_21d,6762.0,0.007426201485013605,0.04643316411197241,-0.32751289579296505,-0.015318255178983387,0.013834882872344467,0.03429471247728444,0.23347511949620858,-0.9919885298704952,4.903186790912107
spy_fwd_63d,6720.0,0.02210577167103028,0.07593013192436728,-0.40256074038588674,-0.01567398629123065,0.034031825705024055,0.06948671686463553,0.3984300059348309,-0.7982560109542549,2.6829359094506575
spy_fwd_126d,6657.0,0.04459600318468799,0.11045868787233751,-0.452503195319919,-0.014119445965124822,0.05927810982681314,0.11108014426905233,0.5324826371112632,-0.7478315754236525,2.2299342122156727
spy_fwd_252d,6531.0,0.09083529082880466,0.16688043685707182,-0.4745170860987117,0.017210566970475072,0.12216368097178543,0.19168178701482685,0.7696134726972905,-0.5794210977181263,0.7413583124363519
